dat_site,LCT_shared,count,p_a
chp 2018 7 10,Trichodon trichodon,0,0
chp 2018 7 10,Xiphister1,902,1
chp 2018 8 25,Ammodytes1,4484,1
chp 2018 8 25,Amphistichus rhodoterus,0,0
chp 2018 8 25,Anarrhichthys ocellatus,0,0
chp 2018 8 25,Anoplarchus1,747,1
chp 2018 8 25,Apodichthys flavidus,0,0
chp 2018 8 25,Artedius1,2574,1
chp 2018 8 25,Ascelichthys rhodorus,0,0
chp 2018 8 25,Aulorhynchus flavidus,0,0
chp 2018 8 25,Blepsias cirrhosus,0,0
chp 2018 8 25,Brachyistius frenatus,0,0
chp 2018 8 25,Citharichthys1,779,1
chp 2018 8 25,Clevelandia ios,0,0
chp 2018 8 25,Clinocottus globiceps,0,0
chp 2018 8 25,Clupea pallasii,36027,1
chp 2018 8 25,Cottus asper,0,0
chp 2018 8 25,Cottus1,0,0
chp 2018 8 25,Cymatogaster aggregata,5794,1
chp 2018 8 25,Embiotoca lateralis,0,0
chp 2018 8 25,Engraulis mordax,0,0
chp 2018 8 25,Enophrys bison,0,0
chp 2018 8 25,Gadus chalcogrammus,0,0
chp 2018 8 25,Gasterosteus aculeatus,0,0
chp 2018 8 25,Gibbonsia montereyensis,0,0
chp 2018 8 25,Gobiesox maeandricus,472,1
chp 2018 8 25,Hemilepidotus hemilepidotus,248,1
chp 2018 8 25,Hexagrammos decagrammus,1808,1
chp 2018 8 25,Hexagrammos1,0,0
chp 2018 8 25,Hippoglossus stenolepis,0,0
chp 2018 8 25,Hydrolagus colliei,0,0
chp 2018 8 25,Icosteus aenigmaticus,0,0
chp 2018 8 25,Jordania zonope,0,0
chp 2018 8 25,Lepidopsetta1,0,0
chp 2018 8 25,Leptocottus armatus,0,0
chp 2018 8 25,Liparis cyclopus,0,0
chp 2018 8 25,Liparis florae,0,0
chp 2018 8 25,Liparis mucosus,0,0
chp 2018 8 25,Lumpenus sagitta,0,0
chp 2018 8 25,Merluccius productus,0,0
chp 2018 8 25,Microgadus proximus,0,0
chp 2018 8 25,Microstomus pacificus,0,0
chp 2018 8 25,Mola mola,0,0
chp 2018 8 25,Myoxocephalus1,0,0
chp 2018 8 25,Nautichthys oculofasciatus,0,0
chp 2018 8 25,Oligocottus1,0,0
chp 2018 8 25,Oncorhynchus clarkii,0,0
chp 2018 8 25,Oncorhynchus gorbuscha,403,1
chp 2018 8 25,Oncorhynchus keta,0,0
chp 2018 8 25,Oncorhynchus kisutch,1021,1
chp 2018 8 25,Oncorhynchus mykiss,0,0
chp 2018 8 25,Oncorhynchus tshawytscha,624,1
chp 2018 8 25,Ophiodon elongatus,0,0
chp 2018 8 25,Oxylebius pictus,0,0
chp 2018 8 25,Pholis1,0,0
chp 2018 8 25,Phytichthys chirus,0,0
chp 2018 8 25,Platichthys stellatus,564,1
chp 2018 8 25,Pleuronectidae1,0,0
chp 2018 8 25,Pleuronichthys coenosus,0,0
chp 2018 8 25,Polypera greeni,0,0
chp 2018 8 25,Rhacochilus vacca,0,0
chp 2018 8 25,Rimicola muscarum,0,0
chp 2018 8 25,Salvelinus malma,0,0
chp 2018 8 25,Scorpaenichthys marmoratus,0,0
chp 2018 8 25,Sebastes entomelas,1127,1
chp 2018 8 25,Sebastes nebulosus,0,0
chp 2018 8 25,Sebastes1,555,1
chp 2018 8 25,Sebastes2,2596,1
chp 2018 8 25,Synchirus gilli,0,0
chp 2018 8 25,Syngnathus leptorhynchus,0,0
chp 2018 8 25,Trichodon trichodon,0,0
chp 2018 8 25,Xiphister1,0,0
chp 2019 7 29,Ammodytes1,16,1
chp 2019 7 29,Amphistichus rhodoterus,0,0
chp 2019 7 29,Anarrhichthys ocellatus,877,1
chp 2019 7 29,Anoplarchus1,210,1
chp 2019 7 29,Apodichthys flavidus,4267,1
chp 2019 7 29,Artedius1,692,1
chp 2019 7 29,Ascelichthys rhodorus,0,0
chp 2019 7 29,Aulorhynchus flavidus,173,1
chp 2019 7 29,Blepsias cirrhosus,0,0
chp 2019 7 29,Brachyistius frenatus,0,0
chp 2019 7 29,Citharichthys1,1330,1
chp 2019 7 29,Clevelandia ios,0,0
chp 2019 7 29,Clinocottus globiceps,0,0
chp 2019 7 29,Clupea pallasii,11157,1
chp 2019 7 29,Cottus asper,0,0
chp 2019 7 29,Cottus1,0,0
chp 2019 7 29,Cymatogaster aggregata,26526,1
chp 2019 7 29,Embiotoca lateralis,1081,1
chp 2019 7 29,Engraulis mordax,0,0
chp 2019 7 29,Enophrys bison,0,0
chp 2019 7 29,Gadus chalcogrammus,0,0
chp 2019 7 29,Gasterosteus aculeatus,0,0
chp 2019 7 29,Gibbonsia montereyensis,0,0
chp 2019 7 29,Gobiesox maeandricus,0,0
chp 2019 7 29,Hemilepidotus hemilepidotus,0,0
chp 2019 7 29,Hexagrammos decagrammus,2830,1
chp 2019 7 29,Hexagrammos1,1923,1
chp 2019 7 29,Hippoglossus stenolepis,0,0
chp 2019 7 29,Hydrolagus colliei,0,0
chp 2019 7 29,Icosteus aenigmaticus,0,0
chp 2019 7 29,Jordania zonope,0,0
chp 2019 7 29,Lepidopsetta1,0,0
chp 2019 7 29,Leptocottus armatus,0,0
chp 2019 7 29,Liparis cyclopus,0,0
chp 2019 7 29,Liparis florae,0,0
chp 2019 7 29,Liparis mucosus,0,0
chp 2019 7 29,Lumpenus sagitta,0,0
chp 2019 7 29,Merluccius productus,0,0
chp 2019 7 29,Microgadus proximus,0,0
chp 2019 7 29,Microstomus pacificus,0,0
chp 2019 7 29,Mola mola,0,0
chp 2019 7 29,Myoxocephalus1,0,0
chp 2019 7 29,Nautichthys oculofasciatus,0,0
chp 2019 7 29,Oligocottus1,0,0
chp 2019 7 29,Oncorhynchus clarkii,0,0
chp 2019 7 29,Oncorhynchus gorbuscha,421,1
chp 2019 7 29,Oncorhynchus keta,0,0
chp 2019 7 29,Oncorhynchus kisutch,1142,1
chp 2019 7 29,Oncorhynchus mykiss,0,0
chp 2019 7 29,Oncorhynchus tshawytscha,143,1
chp 2019 7 29,Ophiodon elongatus,0,0
chp 2019 7 29,Oxylebius pictus,0,0
chp 2019 7 29,Pholis1,0,0
chp 2019 7 29,Phytichthys chirus,0,0
chp 2019 7 29,Platichthys stellatus,322,1
chp 2019 7 29,Pleuronectidae1,155,1
chp 2019 7 29,Pleuronichthys coenosus,0,0
chp 2019 7 29,Polypera greeni,0,0
chp 2019 7 29,Rhacochilus vacca,0,0
chp 2019 7 29,Rimicola muscarum,0,0
chp 2019 7 29,Salvelinus malma,0,0
chp 2019 7 29,Scorpaenichthys marmoratus,0,0
chp 2019 7 29,Sebastes entomelas,1249,1
chp 2019 7 29,Sebastes nebulosus,0,0
chp 2019 7 29,Sebastes1,2197,1
chp 2019 7 29,Sebastes2,5972,1
chp 2019 7 29,Synchirus gilli,0,0
chp 2019 7 29,Syngnathus leptorhynchus,0,0
chp 2019 7 29,Trichodon trichodon,0,0
chp 2019 7 29,Xiphister1,0,0
chp 2020 7 19,Ammodytes1,371,1
chp 2020 7 19,Amphistichus rhodoterus,0,0
chp 2020 7 19,Anarrhichthys ocellatus,311,1
chp 2020 7 19,Anoplarchus1,696,1
chp 2020 7 19,Apodichthys flavidus,3372,1
chp 2020 7 19,Artedius1,707,1
chp 2020 7 19,Ascelichthys rhodorus,0,0
chp 2020 7 19,Aulorhynchus flavidus,37,1
chp 2020 7 19,Blepsias cirrhosus,0,0
chp 2020 7 19,Brachyistius frenatus,197,1
chp 2020 7 19,Citharichthys1,482,1
chp 2020 7 19,Clevelandia ios,0,0
chp 2020 7 19,Clinocottus globiceps,0,0
chp 2020 7 19,Clupea pallasii,13755,1
chp 2020 7 19,Cottus asper,0,0
chp 2020 7 19,Cottus1,0,0
chp 2020 7 19,Cymatogaster aggregata,30639,1
chp 2020 7 19,Embiotoca lateralis,2123,1
chp 2020 7 19,Engraulis mordax,0,0
chp 2020 7 19,Enophrys bison,0,0
chp 2020 7 19,Gadus chalcogrammus,0,0
chp 2020 7 19,Gasterosteus aculeatus,0,0
chp 2020 7 19,Gibbonsia montereyensis,0,0
chp 2020 7 19,Gobiesox maeandricus,0,0
chp 2020 7 19,Hemilepidotus hemilepidotus,479,1
chp 2020 7 19,Hexagrammos decagrammus,3288,1
chp 2020 7 19,Hexagrammos1,3669,1
chp 2020 7 19,Hippoglossus stenolepis,0,0
chp 2020 7 19,Hydrolagus colliei,0,0
chp 2020 7 19,Icosteus aenigmaticus,0,0
chp 2020 7 19,Jordania zonope,0,0
chp 2020 7 19,Lepidopsetta1,0,0
chp 2020 7 19,Leptocottus armatus,0,0
chp 2020 7 19,Liparis cyclopus,0,0
chp 2020 7 19,Liparis florae,0,0
chp 2020 7 19,Liparis mucosus,0,0
chp 2020 7 19,Lumpenus sagitta,0,0
chp 2020 7 19,Merluccius productus,0,0
chp 2020 7 19,Microgadus proximus,0,0
chp 2020 7 19,Microstomus pacificus,0,0
chp 2020 7 19,Mola mola,0,0
chp 2020 7 19,Myoxocephalus1,0,0
chp 2020 7 19,Nautichthys oculofasciatus,0,0
chp 2020 7 19,Oligocottus1,0,0
chp 2020 7 19,Oncorhynchus clarkii,0,0
chp 2020 7 19,Oncorhynchus gorbuscha,1699,1
chp 2020 7 19,Oncorhynchus keta,0,0
chp 2020 7 19,Oncorhynchus kisutch,0,0
chp 2020 7 19,Oncorhynchus mykiss,0,0
chp 2020 7 19,Oncorhynchus tshawytscha,0,0
chp 2020 7 19,Ophiodon elongatus,0,0
chp 2020 7 19,Oxylebius pictus,162,1
chp 2020 7 19,Pholis1,575,1
chp 2020 7 19,Phytichthys chirus,0,0
chp 2020 7 19,Platichthys stellatus,0,0
chp 2020 7 19,Pleuronectidae1,18,1
chp 2020 7 19,Pleuronichthys coenosus,0,0
chp 2020 7 19,Polypera greeni,0,0
chp 2020 7 19,Rhacochilus vacca,0,0
chp 2020 7 19,Rimicola muscarum,0,0
chp 2020 7 19,Salvelinus malma,0,0
chp 2020 7 19,Scorpaenichthys marmoratus,0,0
chp 2020 7 19,Sebastes entomelas,0,0
chp 2020 7 19,Sebastes nebulosus,0,0
chp 2020 7 19,Sebastes1,636,1
chp 2020 7 19,Sebastes2,5119,1
chp 2020 7 19,Synchirus gilli,0,0
chp 2020 7 19,Syngnathus leptorhynchus,0,0
chp 2020 7 19,Trichodon trichodon,0,0
chp 2020 7 19,Xiphister1,0,0
fan1 2020 7 25,Ammodytes1,397,1
fan1 2020 7 25,Amphistichus rhodoterus,0,0
fan1 2020 7 25,Anarrhichthys ocellatus,0,0
fan1 2020 7 25,Anoplarchus1,6533,1
fan1 2020 7 25,Apodichthys flavidus,4785,1
fan1 2020 7 25,Artedius1,222,1
fan1 2020 7 25,Ascelichthys rhodorus,0,0
fan1 2020 7 25,Aulorhynchus flavidus,0,0
fan1 2020 7 25,Blepsias cirrhosus,0,0
fan1 2020 7 25,Brachyistius frenatus,0,0
fan1 2020 7 25,Citharichthys1,0,0
fan1 2020 7 25,Clevelandia ios,0,0
fan1 2020 7 25,Clinocottus globiceps,0,0
fan1 2020 7 25,Clupea pallasii,1650,1
fan1 2020 7 25,Cottus asper,0,0
fan1 2020 7 25,Cottus1,0,0
fan1 2020 7 25,Cymatogaster aggregata,7023,1
fan1 2020 7 25,Embiotoca lateralis,813,1
fan1 2020 7 25,Engraulis mordax,0,0
fan1 2020 7 25,Enophrys bison,1659,1
fan1 2020 7 25,Gadus chalcogrammus,0,0
fan1 2020 7 25,Gasterosteus aculeatus,0,0
fan1 2020 7 25,Gibbonsia montereyensis,517,1
fan1 2020 7 25,Gobiesox maeandricus,1516,1
fan1 2020 7 25,Hemilepidotus hemilepidotus,2185,1
fan1 2020 7 25,Hexagrammos decagrammus,4966,1
fan1 2020 7 25,Hexagrammos1,496,1
fan1 2020 7 25,Hippoglossus stenolepis,0,0
fan1 2020 7 25,Hydrolagus colliei,0,0
fan1 2020 7 25,Icosteus aenigmaticus,0,0
fan1 2020 7 25,Jordania zonope,0,0
fan1 2020 7 25,Lepidopsetta1,0,0
fan1 2020 7 25,Leptocottus armatus,1111,1
fan1 2020 7 25,Liparis cyclopus,0,0
fan1 2020 7 25,Liparis florae,0,0
fan1 2020 7 25,Liparis mucosus,0,0
fan1 2020 7 25,Lumpenus sagitta,0,0
fan1 2020 7 25,Merluccius productus,0,0
fan1 2020 7 25,Microgadus proximus,0,0
fan1 2020 7 25,Microstomus pacificus,0,0
fan1 2020 7 25,Mola mola,0,0
fan1 2020 7 25,Myoxocephalus1,0,0
fan1 2020 7 25,Nautichthys oculofasciatus,0,0
fan1 2020 7 25,Oligocottus1,3261,1
fan1 2020 7 25,Oncorhynchus clarkii,0,0
fan1 2020 7 25,Oncorhynchus gorbuscha,183,1
fan1 2020 7 25,Oncorhynchus keta,0,0
fan1 2020 7 25,Oncorhynchus kisutch,28,1
fan1 2020 7 25,Oncorhynchus mykiss,0,0
fan1 2020 7 25,Oncorhynchus tshawytscha,53,1
fan1 2020 7 25,Ophiodon elongatus,401,1
fan1 2020 7 25,Oxylebius pictus,0,0
fan1 2020 7 25,Pholis1,5411,1
fan1 2020 7 25,Phytichthys chirus,0,0
fan1 2020 7 25,Platichthys stellatus,104,1
fan1 2020 7 25,Pleuronectidae1,7349,1
fan1 2020 7 25,Pleuronichthys coenosus,257,1
fan1 2020 7 25,Polypera greeni,0,0
fan1 2020 7 25,Rhacochilus vacca,0,0
fan1 2020 7 25,Rimicola muscarum,583,1
fan1 2020 7 25,Salvelinus malma,0,0
fan1 2020 7 25,Scorpaenichthys marmoratus,407,1
fan1 2020 7 25,Sebastes entomelas,0,0
fan1 2020 7 25,Sebastes nebulosus,0,0
fan1 2020 7 25,Sebastes1,914,1
fan1 2020 7 25,Sebastes2,10324,1
fan1 2020 7 25,Synchirus gilli,0,0
fan1 2020 7 25,Syngnathus leptorhynchus,0,0
fan1 2020 7 25,Trichodon trichodon,0,0
fan1 2020 7 25,Xiphister1,4001,1
fan3 2020 7 25,Ammodytes1,274,1
fan3 2020 7 25,Amphistichus rhodoterus,0,0
fan3 2020 7 25,Anarrhichthys ocellatus,0,0
fan3 2020 7 25,Anoplarchus1,3525,1
fan3 2020 7 25,Apodichthys flavidus,20568,1
fan3 2020 7 25,Artedius1,472,1
fan3 2020 7 25,Ascelichthys rhodorus,1609,1
fan3 2020 7 25,Aulorhynchus flavidus,821,1
fan3 2020 7 25,Blepsias cirrhosus,0,0
fan3 2020 7 25,Brachyistius frenatus,0,0
fan3 2020 7 25,Citharichthys1,0,0
fan3 2020 7 25,Clevelandia ios,0,0
fan3 2020 7 25,Clinocottus globiceps,0,0
fan3 2020 7 25,Clupea pallasii,1706,1
fan3 2020 7 25,Cottus asper,0,0
fan3 2020 7 25,Cottus1,0,0
fan3 2020 7 25,Cymatogaster aggregata,4049,1
fan3 2020 7 25,Embiotoca lateralis,439,1
fan3 2020 7 25,Engraulis mordax,0,0
fan3 2020 7 25,Enophrys bison,1298,1
fan3 2020 7 25,Gadus chalcogrammus,0,0
fan3 2020 7 25,Gasterosteus aculeatus,0,0
fan3 2020 7 25,Gibbonsia montereyensis,175,1
fan3 2020 7 25,Gobiesox maeandricus,178,1
fan3 2020 7 25,Hemilepidotus hemilepidotus,503,1
fan3 2020 7 25,Hexagrammos decagrammus,6811,1
fan3 2020 7 25,Hexagrammos1,693,1
fan3 2020 7 25,Hippoglossus stenolepis,0,0
fan3 2020 7 25,Hydrolagus colliei,0,0
fan3 2020 7 25,Icosteus aenigmaticus,0,0
fan3 2020 7 25,Jordania zonope,402,1
fan3 2020 7 25,Lepidopsetta1,0,0
fan3 2020 7 25,Leptocottus armatus,642,1
fan3 2020 7 25,Liparis cyclopus,0,0
fan3 2020 7 25,Liparis florae,482,1
fan3 2020 7 25,Liparis mucosus,0,0
fan3 2020 7 25,Lumpenus sagitta,0,0
fan3 2020 7 25,Merluccius productus,0,0
fan3 2020 7 25,Microgadus proximus,0,0
fan3 2020 7 25,Microstomus pacificus,0,0
fan3 2020 7 25,Mola mola,0,0
fan3 2020 7 25,Myoxocephalus1,0,0
fan3 2020 7 25,Nautichthys oculofasciatus,406,1
fan3 2020 7 25,Oligocottus1,1444,1
fan3 2020 7 25,Oncorhynchus clarkii,0,0
fan3 2020 7 25,Oncorhynchus gorbuscha,68,1
fan3 2020 7 25,Oncorhynchus keta,0,0
fan3 2020 7 25,Oncorhynchus kisutch,0,0
fan3 2020 7 25,Oncorhynchus mykiss,0,0
fan3 2020 7 25,Oncorhynchus tshawytscha,0,0
fan3 2020 7 25,Ophiodon elongatus,3391,1
fan3 2020 7 25,Oxylebius pictus,0,0
fan3 2020 7 25,Pholis1,4336,1
fan3 2020 7 25,Phytichthys chirus,0,0
fan3 2020 7 25,Platichthys stellatus,0,0
fan3 2020 7 25,Pleuronectidae1,201,1
fan3 2020 7 25,Pleuronichthys coenosus,62,1
fan3 2020 7 25,Polypera greeni,2083,1
fan3 2020 7 25,Rhacochilus vacca,0,0
fan3 2020 7 25,Rimicola muscarum,0,0
fan3 2020 7 25,Salvelinus malma,0,0
fan3 2020 7 25,Scorpaenichthys marmoratus,0,0
fan3 2020 7 25,Sebastes entomelas,0,0
fan3 2020 7 25,Sebastes nebulosus,0,0
fan3 2020 7 25,Sebastes1,1932,1
fan3 2020 7 25,Sebastes2,1648,1
fan3 2020 7 25,Synchirus gilli,0,0
fan3 2020 7 25,Syngnathus leptorhynchus,0,0
fan3 2020 7 25,Trichodon trichodon,0,0
fan3 2020 7 25,Xiphister1,6344,1
gog1 2018 7 14,Ammodytes1,3184,1
gog1 2018 7 14,Amphistichus rhodoterus,0,0
gog1 2018 7 14,Anarrhichthys ocellatus,0,0
gog1 2018 7 14,Anoplarchus1,1769,1
gog1 2018 7 14,Apodichthys flavidus,3108,1
gog1 2018 7 14,Artedius1,1709,1
gog1 2018 7 14,Ascelichthys rhodorus,2003,1
gog1 2018 7 14,Aulorhynchus flavidus,1009,1
gog1 2018 7 14,Blepsias cirrhosus,0,0
gog1 2018 7 14,Brachyistius frenatus,0,0
gog1 2018 7 14,Citharichthys1,1228,1
gog1 2018 7 14,Clevelandia ios,0,0
gog1 2018 7 14,Clinocottus globiceps,0,0
gog1 2018 7 14,Clupea pallasii,1953,1
gog1 2018 7 14,Cottus asper,0,0
gog1 2018 7 14,Cottus1,0,0
gog1 2018 7 14,Cymatogaster aggregata,22351,1
gog1 2018 7 14,Embiotoca lateralis,167,1
gog1 2018 7 14,Engraulis mordax,0,0
gog1 2018 7 14,Enophrys bison,794,1
gog1 2018 7 14,Gadus chalcogrammus,0,0
gog1 2018 7 14,Gasterosteus aculeatus,0,0
gog1 2018 7 14,Gibbonsia montereyensis,393,1
gog1 2018 7 14,Gobiesox maeandricus,447,1
gog1 2018 7 14,Hemilepidotus hemilepidotus,246,1
gog1 2018 7 14,Hexagrammos decagrammus,5899,1
gog1 2018 7 14,Hexagrammos1,129,1
gog1 2018 7 14,Hippoglossus stenolepis,0,0
gog1 2018 7 14,Hydrolagus colliei,0,0
gog1 2018 7 14,Icosteus aenigmaticus,336,1
gog1 2018 7 14,Jordania zonope,0,0
gog1 2018 7 14,Lepidopsetta1,0,0
gog1 2018 7 14,Leptocottus armatus,2093,1
gog1 2018 7 14,Liparis cyclopus,0,0
gog1 2018 7 14,Liparis florae,508,1
gog1 2018 7 14,Liparis mucosus,0,0
gog1 2018 7 14,Lumpenus sagitta,0,0
gog1 2018 7 14,Merluccius productus,0,0
gog1 2018 7 14,Microgadus proximus,0,0
gog1 2018 7 14,Microstomus pacificus,301,1
gog1 2018 7 14,Mola mola,0,0
gog1 2018 7 14,Myoxocephalus1,0,0
gog1 2018 7 14,Nautichthys oculofasciatus,0,0
gog1 2018 7 14,Oligocottus1,484,1
gog1 2018 7 14,Oncorhynchus clarkii,0,0
gog1 2018 7 14,Oncorhynchus gorbuscha,42,1
gog1 2018 7 14,Oncorhynchus keta,0,0
gog1 2018 7 14,Oncorhynchus kisutch,0,0
gog1 2018 7 14,Oncorhynchus mykiss,0,0
gog1 2018 7 14,Oncorhynchus tshawytscha,1550,1
gog1 2018 7 14,Ophiodon elongatus,0,0
gog1 2018 7 14,Oxylebius pictus,0,0
gog1 2018 7 14,Pholis1,2127,1
gog1 2018 7 14,Phytichthys chirus,0,0
gog1 2018 7 14,Platichthys stellatus,955,1
gog1 2018 7 14,Pleuronectidae1,1621,1
gog1 2018 7 14,Pleuronichthys coenosus,0,0
gog1 2018 7 14,Polypera greeni,0,0
gog1 2018 7 14,Rhacochilus vacca,0,0
gog1 2018 7 14,Rimicola muscarum,0,0
gog1 2018 7 14,Salvelinus malma,0,0
gog1 2018 7 14,Scorpaenichthys marmoratus,1244,1
gog1 2018 7 14,Sebastes entomelas,0,0
gog1 2018 7 14,Sebastes nebulosus,0,0
gog1 2018 7 14,Sebastes1,2956,1
gog1 2018 7 14,Sebastes2,1250,1
gog1 2018 7 14,Synchirus gilli,0,0
gog1 2018 7 14,Syngnathus leptorhynchus,433,1
gog1 2018 7 14,Trichodon trichodon,0,0
gog1 2018 7 14,Xiphister1,1724,1
gog1 2020 7 26,Ammodytes1,87,1
gog1 2020 7 26,Amphistichus rhodoterus,0,0
gog1 2020 7 26,Anarrhichthys ocellatus,0,0
gog1 2020 7 26,Anoplarchus1,9130,1
gog1 2020 7 26,Apodichthys flavidus,1359,1
gog1 2020 7 26,Artedius1,48,1
gog1 2020 7 26,Ascelichthys rhodorus,325,1
gog1 2020 7 26,Aulorhynchus flavidus,162,1
gog1 2020 7 26,Blepsias cirrhosus,0,0
gog1 2020 7 26,Brachyistius frenatus,0,0
gog1 2020 7 26,Citharichthys1,0,0
gog1 2020 7 26,Clevelandia ios,0,0
gog1 2020 7 26,Clinocottus globiceps,189,1
gog1 2020 7 26,Clupea pallasii,802,1
gog1 2020 7 26,Cottus asper,0,0
gog1 2020 7 26,Cottus1,0,0
gog1 2020 7 26,Cymatogaster aggregata,21319,1
gog1 2020 7 26,Embiotoca lateralis,15,1
gog1 2020 7 26,Engraulis mordax,0,0
gog1 2020 7 26,Enophrys bison,450,1
gog1 2020 7 26,Gadus chalcogrammus,0,0
gog1 2020 7 26,Gasterosteus aculeatus,262,1
gog1 2020 7 26,Gibbonsia montereyensis,115,1
gog1 2020 7 26,Gobiesox maeandricus,520,1
gog1 2020 7 26,Hemilepidotus hemilepidotus,1971,1
gog1 2020 7 26,Hexagrammos decagrammus,3459,1
gog1 2020 7 26,Hexagrammos1,249,1
gog1 2020 7 26,Hippoglossus stenolepis,0,0
gog1 2020 7 26,Hydrolagus colliei,0,0
gog1 2020 7 26,Icosteus aenigmaticus,0,0
gog1 2020 7 26,Jordania zonope,134,1
gog1 2020 7 26,Lepidopsetta1,0,0
gog1 2020 7 26,Leptocottus armatus,5093,1
gog1 2020 7 26,Liparis cyclopus,0,0
gog1 2020 7 26,Liparis florae,275,1
gog1 2020 7 26,Liparis mucosus,133,1
gog1 2020 7 26,Lumpenus sagitta,0,0
gog1 2020 7 26,Merluccius productus,0,0
gog1 2020 7 26,Microgadus proximus,0,0
gog1 2020 7 26,Microstomus pacificus,0,0
gog1 2020 7 26,Mola mola,0,0
gog1 2020 7 26,Myoxocephalus1,0,0
gog1 2020 7 26,Nautichthys oculofasciatus,0,0
gog1 2020 7 26,Oligocottus1,3000,1
gog1 2020 7 26,Oncorhynchus clarkii,0,0
gog1 2020 7 26,Oncorhynchus gorbuscha,63,1
gog1 2020 7 26,Oncorhynchus keta,0,0
gog1 2020 7 26,Oncorhynchus kisutch,0,0
gog1 2020 7 26,Oncorhynchus mykiss,0,0
gog1 2020 7 26,Oncorhynchus tshawytscha,205,1
gog1 2020 7 26,Ophiodon elongatus,1278,1
gog1 2020 7 26,Oxylebius pictus,0,0
gog1 2020 7 26,Pholis1,3160,1
gog1 2020 7 26,Phytichthys chirus,169,1
gog1 2020 7 26,Platichthys stellatus,45,1
gog1 2020 7 26,Pleuronectidae1,9164,1
gog1 2020 7 26,Pleuronichthys coenosus,252,1
gog1 2020 7 26,Polypera greeni,0,0
gog1 2020 7 26,Rhacochilus vacca,0,0
gog1 2020 7 26,Rimicola muscarum,0,0
gog1 2020 7 26,Salvelinus malma,0,0
gog1 2020 7 26,Scorpaenichthys marmoratus,374,1
gog1 2020 7 26,Sebastes entomelas,0,0
gog1 2020 7 26,Sebastes nebulosus,0,0
gog1 2020 7 26,Sebastes1,619,1
