site,Species,value,p_a
1-SE01,Lipolagus ochotensis,0,0
1-SE01,Lumpenus sagitta,0,0
1-SE01,Lumpenus sp.,0,0
1-SE01,Merluccius productus,0,0
1-SE01,Microstomus pacificus,0,0
1-SE01,Myoxocephalus jaok,0,0
1-SE01,Nannobrachium regale,1043,1
1-SE01,Nannobrachium ritteri,0,0
1-SE01,Nautichthys oculofasciatus,1771,1
1-SE01,Odontopyxis trispinosa,0,0
1-SE01,Oligocottus maculosus,0,0
1-SE01,Oligocottus snyderi,0,0
1-SE01,Oncorhynchus clarkii lewisi,0,0
1-SE01,Oncorhynchus gorbuscha,0,0
1-SE01,Oncorhynchus keta,0,0
1-SE01,Oncorhynchus kisutch,0,0
1-SE01,Oncorhynchus mykiss,0,0
1-SE01,Oncorhynchus nerka,2518,1
1-SE01,Oncorhynchus tshawytscha,0,0
1-SE01,Ophiodon elongatus,0,0
1-SE01,Parophrys vetulus,0,0
1-SE01,Phanerodon vacca,0,0
1-SE01,Pholis gunnellus,0,0
1-SE01,Pholis laeta,0,0
1-SE01,Pholis ornata,0,0
1-SE01,Phytichthys chirus,0,0
1-SE01,Platichthys stellatus,0,0
1-SE01,Pleuronichthys coenosus,0,0
1-SE01,Poromitra cristiceps,0,0
1-SE01,Prosopium williamsoni,168,1
1-SE01,Rhinogobiops nicholsii,0,0
1-SE01,Rimicola muscarum,0,0
1-SE01,Salmo salar,0,0
1-SE01,Salvelinus malma,0,0
1-SE01,Sardinops sp.,0,0
1-SE01,Scorpaenichthys marmoratus,0,0
1-SE01,Sebastes sp.,2498,1
1-SE01,Stenobrachius leucopsarus,0,0
1-SE01,Stenobrachius nannochir,0,0
1-SE01,Synchirus gilli,0,0
1-SE01,Syngnathus leptorhynchus,0,0
1-SE01,Thaleichthys pacificus,0,0
1-SE01,Trichodon trichodon,0,0
1-SE01,Xiphister atropurpureus,0,0
1-SE01,no identification,0,0
104-TW06,Agonomalus mozinoi,0,0
104-TW06,Albatrossia pectoralis,1953,1
104-TW06,Ammodytes personatus,6885,1
104-TW06,Ammodytes sp.,0,0
104-TW06,Anarrhichthys ocellatus,0,0
104-TW06,Anoplarchus purpurescens,0,0
104-TW06,Anoplopoma fimbria,0,0
104-TW06,Apodichthys flavidus,0,0
104-TW06,Artedius fenestralis,0,0
104-TW06,Artedius harringtoni,978,1
104-TW06,Artedius lateralis,0,0
104-TW06,Ascelichthys rhodorus,0,0
104-TW06,Aulorhynchus flavidus,0,0
104-TW06,Bathylagus pacificus,0,0
104-TW06,Blepsias cirrhosus,0,0
104-TW06,Brachyistius frenatus,0,0
104-TW06,Chauliodus macouni,0,0
104-TW06,Chitonotus pugetensis,0,0
104-TW06,Citharichthys sordidus,0,0
104-TW06,Citharichthys stigmaeus,0,0
104-TW06,Clinocottus embryum,0,0
104-TW06,Clinocottus globiceps,0,0
104-TW06,Clupea pallasii,31518,1
104-TW06,Coryphaenoides filifer,0,0
104-TW06,Cottus asper,0,0
104-TW06,Cottus cognatus,0,0
104-TW06,Cottus sp.,0,0
104-TW06,Cymatogaster aggregata,31339,1
104-TW06,Embiotoca lateralis,0,0
104-TW06,Engraulis mordax,0,0
104-TW06,Enophrys bison,0,0
104-TW06,Gadus chalcogrammus,0,0
104-TW06,Gadus macrocephalus,0,0
104-TW06,Gasterosteus aculeatus,0,0
104-TW06,Gibbonsia montereyensis,0,0
104-TW06,Glyptocephalus zachirus,0,0
104-TW06,Gobiesox maeandricus,0,0
104-TW06,Hemilepidotus hemilepidotus,435,1
104-TW06,Hemilepidotus spinosus,0,0
104-TW06,Hexagrammos decagrammus,3765,1
104-TW06,Hexagrammos sp.,0,0
104-TW06,Hippoglossus stenolepis,0,0
104-TW06,Hydrolagus colliei,0,0
104-TW06,Icelinus borealis,0,0
104-TW06,Icosteus aenigmaticus,0,0
104-TW06,Jordania zonope,0,0
104-TW06,Lepidogobius lepidus,0,0
104-TW06,Lepidopsetta bilineata,0,0
104-TW06,Leptocottus armatus,0,0
104-TW06,Liparis florae,0,0
104-TW06,Liparis mucosus,0,0
104-TW06,Liparis pulchellus,0,0
104-TW06,Lipolagus ochotensis,374,1
104-TW06,Lumpenus sagitta,0,0
104-TW06,Lumpenus sp.,0,0
104-TW06,Merluccius productus,0,0
104-TW06,Microstomus pacificus,0,0
104-TW06,Myoxocephalus jaok,0,0
104-TW06,Nannobrachium regale,0,0
104-TW06,Nannobrachium ritteri,0,0
104-TW06,Nautichthys oculofasciatus,0,0
104-TW06,Odontopyxis trispinosa,0,0
104-TW06,Oligocottus maculosus,0,0
104-TW06,Oligocottus snyderi,0,0
104-TW06,Oncorhynchus clarkii lewisi,0,0
104-TW06,Oncorhynchus gorbuscha,4698,1
104-TW06,Oncorhynchus keta,0,0
104-TW06,Oncorhynchus kisutch,0,0
104-TW06,Oncorhynchus mykiss,0,0
104-TW06,Oncorhynchus nerka,0,0
104-TW06,Oncorhynchus tshawytscha,0,0
104-TW06,Ophiodon elongatus,0,0
104-TW06,Parophrys vetulus,4138,1
104-TW06,Phanerodon vacca,0,0
104-TW06,Pholis gunnellus,0,0
104-TW06,Pholis laeta,8945,1
104-TW06,Pholis ornata,0,0
104-TW06,Phytichthys chirus,0,0
104-TW06,Platichthys stellatus,0,0
104-TW06,Pleuronichthys coenosus,0,0
104-TW06,Poromitra cristiceps,0,0
104-TW06,Prosopium williamsoni,0,0
104-TW06,Rhinogobiops nicholsii,0,0
104-TW06,Rimicola muscarum,0,0
104-TW06,Salmo salar,0,0
104-TW06,Salvelinus malma,0,0
104-TW06,Sardinops sp.,0,0
104-TW06,Scorpaenichthys marmoratus,0,0
104-TW06,Sebastes sp.,2818,1
104-TW06,Stenobrachius leucopsarus,0,0
104-TW06,Stenobrachius nannochir,0,0
104-TW06,Synchirus gilli,0,0
104-TW06,Syngnathus leptorhynchus,0,0
104-TW06,Thaleichthys pacificus,0,0
104-TW06,Trichodon trichodon,0,0
104-TW06,Xiphister atropurpureus,0,0
104-TW06,no identification,0,0
110-TW06,Agonomalus mozinoi,0,0
110-TW06,Albatrossia pectoralis,0,0
110-TW06,Ammodytes personatus,10652,1
110-TW06,Ammodytes sp.,0,0
110-TW06,Anarrhichthys ocellatus,0,0
110-TW06,Anoplarchus purpurescens,0,0
110-TW06,Anoplopoma fimbria,0,0
110-TW06,Apodichthys flavidus,0,0
110-TW06,Artedius fenestralis,0,0
110-TW06,Artedius harringtoni,0,0
110-TW06,Artedius lateralis,0,0
110-TW06,Ascelichthys rhodorus,0,0
110-TW06,Aulorhynchus flavidus,0,0
110-TW06,Bathylagus pacificus,0,0
110-TW06,Blepsias cirrhosus,0,0
110-TW06,Brachyistius frenatus,0,0
110-TW06,Chauliodus macouni,0,0
110-TW06,Chitonotus pugetensis,0,0
110-TW06,Citharichthys sordidus,0,0
110-TW06,Citharichthys stigmaeus,0,0
110-TW06,Clinocottus embryum,0,0
110-TW06,Clinocottus globiceps,0,0
110-TW06,Clupea pallasii,30497,1
110-TW06,Coryphaenoides filifer,0,0
110-TW06,Cottus asper,3820,1
110-TW06,Cottus cognatus,0,0
110-TW06,Cottus sp.,0,0
110-TW06,Cymatogaster aggregata,0,0
110-TW06,Embiotoca lateralis,0,0
110-TW06,Engraulis mordax,0,0
110-TW06,Enophrys bison,0,0
110-TW06,Gadus chalcogrammus,0,0
110-TW06,Gadus macrocephalus,0,0
110-TW06,Gasterosteus aculeatus,0,0
110-TW06,Gibbonsia montereyensis,0,0
110-TW06,Glyptocephalus zachirus,0,0
110-TW06,Gobiesox maeandricus,0,0
110-TW06,Hemilepidotus hemilepidotus,0,0
110-TW06,Hemilepidotus spinosus,0,0
110-TW06,Hexagrammos decagrammus,14052,1
110-TW06,Hexagrammos sp.,0,0
110-TW06,Hippoglossus stenolepis,0,0
110-TW06,Hydrolagus colliei,0,0
110-TW06,Icelinus borealis,0,0
110-TW06,Icosteus aenigmaticus,1163,1
110-TW06,Jordania zonope,0,0
110-TW06,Lepidogobius lepidus,0,0
110-TW06,Lepidopsetta bilineata,0,0
110-TW06,Leptocottus armatus,0,0
110-TW06,Liparis florae,0,0
110-TW06,Liparis mucosus,0,0
110-TW06,Liparis pulchellus,0,0
110-TW06,Lipolagus ochotensis,0,0
110-TW06,Lumpenus sagitta,0,0
110-TW06,Lumpenus sp.,0,0
110-TW06,Merluccius productus,0,0
110-TW06,Microstomus pacificus,0,0
110-TW06,Myoxocephalus jaok,0,0
110-TW06,Nannobrachium regale,0,0
110-TW06,Nannobrachium ritteri,0,0
110-TW06,Nautichthys oculofasciatus,0,0
110-TW06,Odontopyxis trispinosa,0,0
110-TW06,Oligocottus maculosus,0,0
110-TW06,Oligocottus snyderi,0,0
110-TW06,Oncorhynchus clarkii lewisi,0,0
110-TW06,Oncorhynchus gorbuscha,0,0
110-TW06,Oncorhynchus keta,0,0
110-TW06,Oncorhynchus kisutch,3483,1
110-TW06,Oncorhynchus mykiss,0,0
110-TW06,Oncorhynchus nerka,0,0
110-TW06,Oncorhynchus tshawytscha,0,0
110-TW06,Ophiodon elongatus,0,0
110-TW06,Parophrys vetulus,0,0
110-TW06,Phanerodon vacca,12200,1
110-TW06,Pholis gunnellus,0,0
110-TW06,Pholis laeta,0,0
110-TW06,Pholis ornata,0,0
110-TW06,Phytichthys chirus,0,0
110-TW06,Platichthys stellatus,0,0
110-TW06,Pleuronichthys coenosus,0,0
110-TW06,Poromitra cristiceps,0,0
110-TW06,Prosopium williamsoni,0,0
110-TW06,Rhinogobiops nicholsii,0,0
110-TW06,Rimicola muscarum,0,0
110-TW06,Salmo salar,0,0
110-TW06,Salvelinus malma,0,0
110-TW06,Sardinops sp.,0,0
110-TW06,Scorpaenichthys marmoratus,0,0
110-TW06,Sebastes sp.,0,0
110-TW06,Stenobrachius leucopsarus,0,0
110-TW06,Stenobrachius nannochir,0,0
110-TW06,Synchirus gilli,1651,1
110-TW06,Syngnathus leptorhynchus,0,0
110-TW06,Thaleichthys pacificus,0,0
110-TW06,Trichodon trichodon,0,0
110-TW06,Xiphister atropurpureus,0,0
110-TW06,no identification,0,0
115-TW09,Agonomalus mozinoi,0,0
115-TW09,Albatrossia pectoralis,5739,1
115-TW09,Ammodytes personatus,4476,1
115-TW09,Ammodytes sp.,0,0
115-TW09,Anarrhichthys ocellatus,0,0
115-TW09,Anoplarchus purpurescens,0,0
115-TW09,Anoplopoma fimbria,0,0
115-TW09,Apodichthys flavidus,0,0
115-TW09,Artedius fenestralis,0,0
115-TW09,Artedius harringtoni,0,0
115-TW09,Artedius lateralis,0,0
115-TW09,Ascelichthys rhodorus,0,0
115-TW09,Aulorhynchus flavidus,0,0
115-TW09,Bathylagus pacificus,0,0
115-TW09,Blepsias cirrhosus,0,0
115-TW09,Brachyistius frenatus,0,0
115-TW09,Chauliodus macouni,0,0
115-TW09,Chitonotus pugetensis,0,0
115-TW09,Citharichthys sordidus,0,0
115-TW09,Citharichthys stigmaeus,0,0
115-TW09,Clinocottus embryum,0,0
115-TW09,Clinocottus globiceps,0,0
115-TW09,Clupea pallasii,43720,1
115-TW09,Coryphaenoides filifer,0,0
115-TW09,Cottus asper,2854,1
115-TW09,Cottus cognatus,7356,1
115-TW09,Cottus sp.,0,0
115-TW09,Cymatogaster aggregata,12016,1
115-TW09,Embiotoca lateralis,2528,1
115-TW09,Engraulis mordax,0,0
115-TW09,Enophrys bison,0,0
115-TW09,Gadus chalcogrammus,0,0
115-TW09,Gadus macrocephalus,0,0
115-TW09,Gasterosteus aculeatus,0,0
115-TW09,Gibbonsia montereyensis,0,0
115-TW09,Glyptocephalus zachirus,0,0
115-TW09,Gobiesox maeandricus,0,0
115-TW09,Hemilepidotus hemilepidotus,0,0
115-TW09,Hemilepidotus spinosus,0,0
115-TW09,Hexagrammos decagrammus,3868,1
115-TW09,Hexagrammos sp.,7028,1
115-TW09,Hippoglossus stenolepis,0,0
115-TW09,Hydrolagus colliei,0,0
115-TW09,Icelinus borealis,0,0
115-TW09,Icosteus aenigmaticus,0,0
115-TW09,Jordania zonope,0,0
115-TW09,Lepidogobius lepidus,0,0
115-TW09,Lepidopsetta bilineata,0,0
115-TW09,Leptocottus armatus,3529,1
115-TW09,Liparis florae,0,0
115-TW09,Liparis mucosus,0,0
115-TW09,Liparis pulchellus,0,0
115-TW09,Lipolagus ochotensis,0,0
115-TW09,Lumpenus sagitta,0,0
115-TW09,Lumpenus sp.,0,0
115-TW09,Merluccius productus,0,0
115-TW09,Microstomus pacificus,0,0
115-TW09,Myoxocephalus jaok,0,0
115-TW09,Nannobrachium regale,0,0
115-TW09,Nannobrachium ritteri,0,0
115-TW09,Nautichthys oculofasciatus,0,0
115-TW09,Odontopyxis trispinosa,0,0
115-TW09,Oligocottus maculosus,0,0
115-TW09,Oligocottus snyderi,0,0
115-TW09,Oncorhynchus clarkii lewisi,0,0
115-TW09,Oncorhynchus gorbuscha,0,0
115-TW09,Oncorhynchus keta,0,0
115-TW09,Oncorhynchus kisutch,3693,1
115-TW09,Oncorhynchus mykiss,0,0
115-TW09,Oncorhynchus nerka,0,0
115-TW09,Oncorhynchus tshawytscha,0,0
115-TW09,Ophiodon elongatus,0,0
115-TW09,Parophrys vetulus,0,0
115-TW09,Phanerodon vacca,0,0
115-TW09,Pholis gunnellus,0,0
115-TW09,Pholis laeta,0,0
115-TW09,Pholis ornata,0,0
115-TW09,Phytichthys chirus,0,0
115-TW09,Platichthys stellatus,0,0
115-TW09,Pleuronichthys coenosus,0,0
115-TW09,Poromitra cristiceps,0,0
115-TW09,Prosopium williamsoni,0,0
115-TW09,Rhinogobiops nicholsii,0,0
115-TW09,Rimicola muscarum,0,0
115-TW09,Salmo salar,0,0
115-TW09,Salvelinus malma,0,0
115-TW09,Sardinops sp.,310,1
115-TW09,Scorpaenichthys marmoratus,0,0
115-TW09,Sebastes sp.,62,1
115-TW09,Stenobrachius leucopsarus,0,0
115-TW09,Stenobrachius nannochir,0,0
115-TW09,Synchirus gilli,0,0
115-TW09,Syngnathus leptorhynchus,0,0
115-TW09,Thaleichthys pacificus,0,0
115-TW09,Trichodon trichodon,0,0
115-TW09,Xiphister atropurpureus,0,0
115-TW09,no identification,2412,1
124-TW09,Agonomalus mozinoi,0,0
124-TW09,Albatrossia pectoralis,6643,1
124-TW09,Ammodytes personatus,10782,1
124-TW09,Ammodytes sp.,0,0
124-TW09,Anarrhichthys ocellatus,0,0
124-TW09,Anoplarchus purpurescens,17211,1
124-TW09,Anoplopoma fimbria,6844,1
124-TW09,Apodichthys flavidus,0,0
124-TW09,Artedius fenestralis,0,0
124-TW09,Artedius harringtoni,508,1
124-TW09,Artedius lateralis,0,0
124-TW09,Ascelichthys rhodorus,0,0
124-TW09,Aulorhynchus flavidus,0,0
124-TW09,Bathylagus pacificus,0,0
124-TW09,Blepsias cirrhosus,0,0
124-TW09,Brachyistius frenatus,0,0
124-TW09,Chauliodus macouni,0,0
124-TW09,Chitonotus pugetensis,0,0
124-TW09,Citharichthys sordidus,0,0
124-TW09,Citharichthys stigmaeus,11,1
124-TW09,Clinocottus embryum,9513,1
124-TW09,Clinocottus globiceps,0,0
124-TW09,Clupea pallasii,53645,1
124-TW09,Coryphaenoides filifer,0,0
124-TW09,Cottus asper,5,1
124-TW09,Cottus cognatus,0,0
124-TW09,Cottus sp.,0,0
124-TW09,Cymatogaster aggregata,451,1
124-TW09,Embiotoca lateralis,0,0
124-TW09,Engraulis mordax,0,0
124-TW09,Enophrys bison,0,0
124-TW09,Gadus chalcogrammus,0,0
124-TW09,Gadus macrocephalus,0,0
124-TW09,Gasterosteus aculeatus,2271,1
124-TW09,Gibbonsia montereyensis,0,0
124-TW09,Glyptocephalus zachirus,0,0
124-TW09,Gobiesox maeandricus,0,0
124-TW09,Hemilepidotus hemilepidotus,0,0
124-TW09,Hemilepidotus spinosus,0,0
124-TW09,Hexagrammos decagrammus,5629,1
124-TW09,Hexagrammos sp.,3748,1
124-TW09,Hippoglossus stenolepis,0,0
124-TW09,Hydrolagus colliei,0,0
124-TW09,Icelinus borealis,0,0
124-TW09,Icosteus aenigmaticus,0,0
124-TW09,Jordania zonope,0,0
124-TW09,Lepidogobius lepidus,0,0
124-TW09,Lepidopsetta bilineata,0,0
124-TW09,Leptocottus armatus,0,0
124-TW09,Liparis florae,0,0
124-TW09,Liparis mucosus,0,0
124-TW09,Liparis pulchellus,0,0
124-TW09,Lipolagus ochotensis,0,0
124-TW09,Lumpenus sagitta,0,0
124-TW09,Lumpenus sp.,0,0
124-TW09,Merluccius productus,0,0
124-TW09,Microstomus pacificus,0,0
124-TW09,Myoxocephalus jaok,0,0
124-TW09,Nannobrachium regale,0,0
124-TW09,Nannobrachium ritteri,0,0
124-TW09,Nautichthys oculofasciatus,0,0
124-TW09,Odontopyxis trispinosa,0,0
124-TW09,Oligocottus maculosus,0,0
124-TW09,Oligocottus snyderi,0,0
124-TW09,Oncorhynchus clarkii lewisi,0,0
124-TW09,Oncorhynchus gorbuscha,0,0
124-TW09,Oncorhynchus keta,0,0
124-TW09,Oncorhynchus kisutch,0,0
124-TW09,Oncorhynchus mykiss,0,0
124-TW09,Oncorhynchus nerka,0,0
124-TW09,Oncorhynchus tshawytscha,0,0
124-TW09,Ophiodon elongatus,0,0
124-TW09,Parophrys vetulus,0,0
124-TW09,Phanerodon vacca,0,0
124-TW09,Pholis gunnellus,0,0
124-TW09,Pholis laeta,0,0
124-TW09,Pholis ornata,0,0
124-TW09,Phytichthys chirus,0,0
124-TW09,Platichthys stellatus,0,0
124-TW09,Pleuronichthys coenosus,0,0
124-TW09,Poromitra cristiceps,0,0
124-TW09,Prosopium williamsoni,0,0
124-TW09,Rhinogobiops nicholsii,0,0
124-TW09,Rimicola muscarum,0,0
124-TW09,Salmo salar,0,0
124-TW09,Salvelinus malma,0,0
124-TW09,Sardinops sp.,0,0
124-TW09,Scorpaenichthys marmoratus,0,0
124-TW09,Sebastes sp.,9478,1
124-TW09,Stenobrachius leucopsarus,0,0
124-TW09,Stenobrachius nannochir,0,0
124-TW09,Synchirus gilli,0,0
124-TW09,Syngnathus leptorhynchus,0,0
124-TW09,Thaleichthys pacificus,0,0
124-TW09,Trichodon trichodon,0,0
124-TW09,Xiphister atropurpureus,0,0
124-TW09,no identification,0,0
133-TW09,Agonomalus mozinoi,0,0
133-TW09,Albatrossia pectoralis,0,0
133-TW09,Ammodytes personatus,28558,1
133-TW09,Ammodytes sp.,0,0
133-TW09,Anarrhichthys ocellatus,0,0
133-TW09,Anoplarchus purpurescens,13496,1
133-TW09,Anoplopoma fimbria,0,0
133-TW09,Apodichthys flavidus,359,1
133-TW09,Artedius fenestralis,0,0
133-TW09,Artedius harringtoni,0,0
133-TW09,Artedius lateralis,0,0
133-TW09,Ascelichthys rhodorus,0,0
133-TW09,Aulorhynchus flavidus,0,0
133-TW09,Bathylagus pacificus,0,0
133-TW09,Blepsias cirrhosus,0,0
133-TW09,Brachyistius frenatus,0,0
133-TW09,Chauliodus macouni,0,0
133-TW09,Chitonotus pugetensis,0,0
133-TW09,Citharichthys sordidus,0,0
133-TW09,Citharichthys stigmaeus,13896,1
133-TW09,Clinocottus embryum,0,0
133-TW09,Clinocottus globiceps,0,0
133-TW09,Clupea pallasii,55129,1
133-TW09,Coryphaenoides filifer,0,0
133-TW09,Cottus asper,0,0
133-TW09,Cottus cognatus,0,0
133-TW09,Cottus sp.,0,0
133-TW09,Cymatogaster aggregata,9292,1
133-TW09,Embiotoca lateralis,0,0
133-TW09,Engraulis mordax,0,0
133-TW09,Enophrys bison,0,0
133-TW09,Gadus chalcogrammus,0,0
133-TW09,Gadus macrocephalus,0,0
133-TW09,Gasterosteus aculeatus,713,1
133-TW09,Gibbonsia montereyensis,13579,1
133-TW09,Glyptocephalus zachirus,0,0
133-TW09,Gobiesox maeandricus,0,0
133-TW09,Hemilepidotus hemilepidotus,0,0
133-TW09,Hemilepidotus spinosus,0,0
133-TW09,Hexagrammos decagrammus,0,0
133-TW09,Hexagrammos sp.,0,0
133-TW09,Hippoglossus stenolepis,0,0
133-TW09,Hydrolagus colliei,0,0
133-TW09,Icelinus borealis,1027,1
133-TW09,Icosteus aenigmaticus,18927,1
133-TW09,Jordania zonope,0,0
133-TW09,Lepidogobius lepidus,0,0
133-TW09,Lepidopsetta bilineata,0,0
133-TW09,Leptocottus armatus,0,0
133-TW09,Liparis florae,0,0
133-TW09,Liparis mucosus,0,0
133-TW09,Liparis pulchellus,0,0
133-TW09,Lipolagus ochotensis,0,0
133-TW09,Lumpenus sagitta,0,0
133-TW09,Lumpenus sp.,0,0
133-TW09,Merluccius productus,0,0
133-TW09,Microstomus pacificus,0,0
133-TW09,Myoxocephalus jaok,0,0
133-TW09,Nannobrachium regale,0,0
133-TW09,Nannobrachium ritteri,0,0
133-TW09,Nautichthys oculofasciatus,0,0
133-TW09,Odontopyxis trispinosa,0,0
133-TW09,Oligocottus maculosus,0,0
133-TW09,Oligocottus snyderi,0,0
133-TW09,Oncorhynchus clarkii lewisi,0,0
133-TW09,Oncorhynchus gorbuscha,0,0
133-TW09,Oncorhynchus keta,0,0
133-TW09,Oncorhynchus kisutch,0,0
133-TW09,Oncorhynchus mykiss,0,0
133-TW09,Oncorhynchus nerka,0,0
133-TW09,Oncorhynchus tshawytscha,0,0
133-TW09,Ophiodon elongatus,0,0
133-TW09,Parophrys vetulus,6251,1
133-TW09,Phanerodon vacca,0,0
133-TW09,Pholis gunnellus,0,0
133-TW09,Pholis laeta,0,0
133-TW09,Pholis ornata,0,0
133-TW09,Phytichthys chirus,0,0
133-TW09,Platichthys stellatus,0,0
133-TW09,Pleuronichthys coenosus,0,0
133-TW09,Poromitra cristiceps,0,0
133-TW09,Prosopium williamsoni,0,0
133-TW09,Rhinogobiops nicholsii,0,0
133-TW09,Rimicola muscarum,0,0
133-TW09,Salmo salar,0,0
133-TW09,Salvelinus malma,0,0
133-TW09,Sardinops sp.,0,0
133-TW09,Scorpaenichthys marmoratus,0,0
133-TW09,Sebastes sp.,0,0
133-TW09,Stenobrachius leucopsarus,0,0
133-TW09,Stenobrachius nannochir,0,0
133-TW09,Synchirus gilli,0,0
133-TW09,Syngnathus leptorhynchus,0,0
133-TW09,Thaleichthys pacificus,0,0
133-TW09,Trichodon trichodon,0,0
133-TW09,Xiphister atropurpureus,0,0
133-TW09,no identification,0,0
138-TW05,Agonomalus mozinoi,0,0
138-TW05,Albatrossia pectoralis,5030,1
138-TW05,Ammodytes personatus,0,0
138-TW05,Ammodytes sp.,0,0
138-TW05,Anarrhichthys ocellatus,0,0
138-TW05,Anoplarchus purpurescens,717,1
138-TW05,Anoplopoma fimbria,0,0
138-TW05,Apodichthys flavidus,0,0
138-TW05,Artedius fenestralis,0,0
138-TW05,Artedius harringtoni,8656,1
138-TW05,Artedius lateralis,0,0
138-TW05,Ascelichthys rhodorus,0,0
138-TW05,Aulorhynchus flavidus,0,0
138-TW05,Bathylagus pacificus,0,0
138-TW05,Blepsias cirrhosus,0,0
138-TW05,Brachyistius frenatus,0,0
138-TW05,Chauliodus macouni,0,0
138-TW05,Chitonotus pugetensis,0,0
138-TW05,Citharichthys sordidus,0,0
138-TW05,Citharichthys stigmaeus,0,0
138-TW05,Clinocottus embryum,0,0
138-TW05,Clinocottus globiceps,8072,1
138-TW05,Clupea pallasii,14702,1
138-TW05,Coryphaenoides filifer,0,0
138-TW05,Cottus asper,2941,1
138-TW05,Cottus cognatus,0,0
138-TW05,Cottus sp.,0,0
138-TW05,Cymatogaster aggregata,11260,1
138-TW05,Embiotoca lateralis,0,0
138-TW05,Engraulis mordax,0,0
138-TW05,Enophrys bison,0,0
138-TW05,Gadus chalcogrammus,0,0
138-TW05,Gadus macrocephalus,0,0
138-TW05,Gasterosteus aculeatus,0,0
138-TW05,Gibbonsia montereyensis,0,0
138-TW05,Glyptocephalus zachirus,0,0
138-TW05,Gobiesox maeandricus,0,0
138-TW05,Hemilepidotus hemilepidotus,5661,1
138-TW05,Hemilepidotus spinosus,0,0
138-TW05,Hexagrammos decagrammus,0,0
138-TW05,Hexagrammos sp.,3833,1
138-TW05,Hippoglossus stenolepis,0,0
138-TW05,Hydrolagus colliei,0,0
138-TW05,Icelinus borealis,0,0
138-TW05,Icosteus aenigmaticus,0,0
138-TW05,Jordania zonope,0,0
138-TW05,Lepidogobius lepidus,0,0
138-TW05,Lepidopsetta bilineata,0,0
138-TW05,Leptocottus armatus,0,0
138-TW05,Liparis florae,0,0
138-TW05,Liparis mucosus,0,0
138-TW05,Liparis pulchellus,0,0
138-TW05,Lipolagus ochotensis,0,0
138-TW05,Lumpenus sagitta,0,0
138-TW05,Lumpenus sp.,0,0
138-TW05,Merluccius productus,0,0
138-TW05,Microstomus pacificus,0,0
138-TW05,Myoxocephalus jaok,7351,1
138-TW05,Nannobrachium regale,0,0
138-TW05,Nannobrachium ritteri,0,0
138-TW05,Nautichthys oculofasciatus,0,0
138-TW05,Odontopyxis trispinosa,0,0
138-TW05,Oligocottus maculosus,0,0
138-TW05,Oligocottus snyderi,0,0
138-TW05,Oncorhynchus clarkii lewisi,0,0
138-TW05,Oncorhynchus gorbuscha,8345,1
138-TW05,Oncorhynchus keta,8395,1
138-TW05,Oncorhynchus kisutch,0,0
138-TW05,Oncorhynchus mykiss,0,0
138-TW05,Oncorhynchus nerka,0,0
138-TW05,Oncorhynchus tshawytscha,0,0
138-TW05,Ophiodon elongatus,0,0
138-TW05,Parophrys vetulus,0,0
138-TW05,Phanerodon vacca,0,0
138-TW05,Pholis gunnellus,0,0
