dat_site,LCT_shared,abundance,p_a
chp 2019 7 29,Citharichthys1,14,1
chp 2019 7 29,Clinocottus acuticeps,0,0
chp 2019 7 29,Clupea pallasii,0,0
chp 2019 7 29,Cymatogaster aggregata,15,1
chp 2019 7 29,Embiotoca lateralis,19,1
chp 2019 7 29,Enophrys bison,4,1
chp 2019 7 29,Gadus chalcogrammus,0,0
chp 2019 7 29,Gadus macrocephalus,0,0
chp 2019 7 29,Gasterosteus aculeatus,0,0
chp 2019 7 29,Gibbonsia metzi,0,0
chp 2019 7 29,Gobiesox maeandricus,0,0
chp 2019 7 29,Hemilepidotus hemilepidotus,0,0
chp 2019 7 29,Hexagrammos decagrammus,0,0
chp 2019 7 29,Hexagrammos stelleri,0,0
chp 2019 7 29,Hexagrammos1,0,0
chp 2019 7 29,Hypomesus pretiosus,0,0
chp 2019 7 29,Jordania zonope,0,0
chp 2019 7 29,Lepidogobius lepidus,0,0
chp 2019 7 29,Lepidopsetta1,0,0
chp 2019 7 29,Leptocottus armatus,0,0
chp 2019 7 29,Lumpenus sagitta,0,0
chp 2019 7 29,Microgadus proximus,0,0
chp 2019 7 29,Myoxocephalus1,0,0
chp 2019 7 29,Odontopyxis trispinosa,0,0
chp 2019 7 29,Oligocottus rimensis,0,0
chp 2019 7 29,Oligocottus1,20,1
chp 2019 7 29,Oncorhynchus kisutch,0,0
chp 2019 7 29,Oncorhynchus tshawytscha,0,0
chp 2019 7 29,Ophiodon elongatus,0,0
chp 2019 7 29,Oxylebius pictus,0,0
chp 2019 7 29,Pallasina barbata,0,0
chp 2019 7 29,Pholis1,0,0
chp 2019 7 29,Platichthys stellatus,0,0
chp 2019 7 29,Pleuronectidae1,1,1
chp 2019 7 29,Pleuronichthys coenosus,1,1
chp 2019 7 29,Rhacochilus vacca,0,0
chp 2019 7 29,Rhinogobiops nicholsii,0,0
chp 2019 7 29,Rimicola muscarum,0,0
chp 2019 7 29,Salvelinus malma,0,0
chp 2019 7 29,Scorpaenichthys marmoratus,1,1
chp 2019 7 29,Sebastes paucispinis,0,0
chp 2019 7 29,Sebastes1,3,1
chp 2019 7 29,Sebastes2,3,1
chp 2019 7 29,Synchirus gilli,0,0
chp 2019 7 29,Syngnathus leptorhynchus,0,0
chp 2019 7 29,Trichodon trichodon,0,0
chp 2020 7 19,Ammodytes1,1,1
chp 2020 7 19,Amphistichus rhodoterus,0,0
chp 2020 7 19,Anoplarchus1,0,0
chp 2020 7 19,Apodichthys flavidus,8,1
chp 2020 7 19,Artedius1,1,1
chp 2020 7 19,Ascelichthys rhodorus,0,0
chp 2020 7 19,Aulorhynchus flavidus,63,1
chp 2020 7 19,Blepsias cirrhosus,1,1
chp 2020 7 19,Brachyistius frenatus,0,0
chp 2020 7 19,Chitonotus pugetensis,0,0
chp 2020 7 19,Citharichthys1,23,1
chp 2020 7 19,Clinocottus acuticeps,0,0
chp 2020 7 19,Clupea pallasii,0,0
chp 2020 7 19,Cymatogaster aggregata,112,1
chp 2020 7 19,Embiotoca lateralis,2,1
chp 2020 7 19,Enophrys bison,4,1
chp 2020 7 19,Gadus chalcogrammus,0,0
chp 2020 7 19,Gadus macrocephalus,0,0
chp 2020 7 19,Gasterosteus aculeatus,0,0
chp 2020 7 19,Gibbonsia metzi,0,0
chp 2020 7 19,Gobiesox maeandricus,0,0
chp 2020 7 19,Hemilepidotus hemilepidotus,0,0
chp 2020 7 19,Hexagrammos decagrammus,11,1
chp 2020 7 19,Hexagrammos stelleri,0,0
chp 2020 7 19,Hexagrammos1,3,1
chp 2020 7 19,Hypomesus pretiosus,0,0
chp 2020 7 19,Jordania zonope,0,0
chp 2020 7 19,Lepidogobius lepidus,0,0
chp 2020 7 19,Lepidopsetta1,0,0
chp 2020 7 19,Leptocottus armatus,0,0
chp 2020 7 19,Lumpenus sagitta,0,0
chp 2020 7 19,Microgadus proximus,0,0
chp 2020 7 19,Myoxocephalus1,0,0
chp 2020 7 19,Odontopyxis trispinosa,0,0
chp 2020 7 19,Oligocottus rimensis,0,0
chp 2020 7 19,Oligocottus1,2,1
chp 2020 7 19,Oncorhynchus kisutch,0,0
chp 2020 7 19,Oncorhynchus tshawytscha,0,0
chp 2020 7 19,Ophiodon elongatus,0,0
chp 2020 7 19,Oxylebius pictus,0,0
chp 2020 7 19,Pallasina barbata,0,0
chp 2020 7 19,Pholis1,0,0
chp 2020 7 19,Platichthys stellatus,0,0
chp 2020 7 19,Pleuronectidae1,2,1
chp 2020 7 19,Pleuronichthys coenosus,6,1
chp 2020 7 19,Rhacochilus vacca,0,0
chp 2020 7 19,Rhinogobiops nicholsii,0,0
chp 2020 7 19,Rimicola muscarum,0,0
chp 2020 7 19,Salvelinus malma,0,0
chp 2020 7 19,Scorpaenichthys marmoratus,2,1
chp 2020 7 19,Sebastes paucispinis,0,0
chp 2020 7 19,Sebastes1,0,0
chp 2020 7 19,Sebastes2,1,1
chp 2020 7 19,Synchirus gilli,0,0
chp 2020 7 19,Syngnathus leptorhynchus,0,0
chp 2020 7 19,Trichodon trichodon,0,0
fan1 2020 7 25,Ammodytes1,0,0
fan1 2020 7 25,Amphistichus rhodoterus,0,0
fan1 2020 7 25,Anoplarchus1,0,0
fan1 2020 7 25,Apodichthys flavidus,20,1
fan1 2020 7 25,Artedius1,9,1
fan1 2020 7 25,Ascelichthys rhodorus,0,0
fan1 2020 7 25,Aulorhynchus flavidus,1,1
fan1 2020 7 25,Blepsias cirrhosus,6,1
fan1 2020 7 25,Brachyistius frenatus,0,0
fan1 2020 7 25,Chitonotus pugetensis,0,0
fan1 2020 7 25,Citharichthys1,0,0
fan1 2020 7 25,Clinocottus acuticeps,0,0
fan1 2020 7 25,Clupea pallasii,0,0
fan1 2020 7 25,Cymatogaster aggregata,100,1
fan1 2020 7 25,Embiotoca lateralis,3,1
fan1 2020 7 25,Enophrys bison,1,1
fan1 2020 7 25,Gadus chalcogrammus,0,0
fan1 2020 7 25,Gadus macrocephalus,0,0
fan1 2020 7 25,Gasterosteus aculeatus,0,0
fan1 2020 7 25,Gibbonsia metzi,0,0
fan1 2020 7 25,Gobiesox maeandricus,0,0
fan1 2020 7 25,Hemilepidotus hemilepidotus,1,1
fan1 2020 7 25,Hexagrammos decagrammus,10,1
fan1 2020 7 25,Hexagrammos stelleri,1,1
fan1 2020 7 25,Hexagrammos1,0,0
fan1 2020 7 25,Hypomesus pretiosus,0,0
fan1 2020 7 25,Jordania zonope,0,0
fan1 2020 7 25,Lepidogobius lepidus,0,0
fan1 2020 7 25,Lepidopsetta1,0,0
fan1 2020 7 25,Leptocottus armatus,0,0
fan1 2020 7 25,Lumpenus sagitta,0,0
fan1 2020 7 25,Microgadus proximus,0,0
fan1 2020 7 25,Myoxocephalus1,0,0
fan1 2020 7 25,Odontopyxis trispinosa,0,0
fan1 2020 7 25,Oligocottus rimensis,0,0
fan1 2020 7 25,Oligocottus1,73,1
fan1 2020 7 25,Oncorhynchus kisutch,0,0
fan1 2020 7 25,Oncorhynchus tshawytscha,0,0
fan1 2020 7 25,Ophiodon elongatus,2,1
fan1 2020 7 25,Oxylebius pictus,0,0
fan1 2020 7 25,Pallasina barbata,0,0
fan1 2020 7 25,Pholis1,9,1
fan1 2020 7 25,Platichthys stellatus,0,0
fan1 2020 7 25,Pleuronectidae1,8,1
fan1 2020 7 25,Pleuronichthys coenosus,0,0
fan1 2020 7 25,Rhacochilus vacca,0,0
fan1 2020 7 25,Rhinogobiops nicholsii,0,0
fan1 2020 7 25,Rimicola muscarum,1,1
fan1 2020 7 25,Salvelinus malma,0,0
fan1 2020 7 25,Scorpaenichthys marmoratus,0,0
fan1 2020 7 25,Sebastes paucispinis,0,0
fan1 2020 7 25,Sebastes1,3,1
fan1 2020 7 25,Sebastes2,0,0
fan1 2020 7 25,Synchirus gilli,2,1
fan1 2020 7 25,Syngnathus leptorhynchus,17,1
fan1 2020 7 25,Trichodon trichodon,0,0
fan3 2020 7 25,Ammodytes1,0,0
fan3 2020 7 25,Amphistichus rhodoterus,0,0
fan3 2020 7 25,Anoplarchus1,0,0
fan3 2020 7 25,Apodichthys flavidus,24,1
fan3 2020 7 25,Artedius1,0,0
fan3 2020 7 25,Ascelichthys rhodorus,0,0
fan3 2020 7 25,Aulorhynchus flavidus,0,0
fan3 2020 7 25,Blepsias cirrhosus,0,0
fan3 2020 7 25,Brachyistius frenatus,0,0
fan3 2020 7 25,Chitonotus pugetensis,0,0
fan3 2020 7 25,Citharichthys1,0,0
fan3 2020 7 25,Clinocottus acuticeps,0,0
fan3 2020 7 25,Clupea pallasii,0,0
fan3 2020 7 25,Cymatogaster aggregata,16,1
fan3 2020 7 25,Embiotoca lateralis,0,0
fan3 2020 7 25,Enophrys bison,10,1
fan3 2020 7 25,Gadus chalcogrammus,0,0
fan3 2020 7 25,Gadus macrocephalus,0,0
fan3 2020 7 25,Gasterosteus aculeatus,0,0
fan3 2020 7 25,Gibbonsia metzi,0,0
fan3 2020 7 25,Gobiesox maeandricus,0,0
fan3 2020 7 25,Hemilepidotus hemilepidotus,0,0
fan3 2020 7 25,Hexagrammos decagrammus,18,1
fan3 2020 7 25,Hexagrammos stelleri,4,1
fan3 2020 7 25,Hexagrammos1,0,0
fan3 2020 7 25,Hypomesus pretiosus,0,0
fan3 2020 7 25,Jordania zonope,0,0
fan3 2020 7 25,Lepidogobius lepidus,0,0
fan3 2020 7 25,Lepidopsetta1,0,0
fan3 2020 7 25,Leptocottus armatus,1,1
fan3 2020 7 25,Lumpenus sagitta,0,0
fan3 2020 7 25,Microgadus proximus,0,0
fan3 2020 7 25,Myoxocephalus1,0,0
fan3 2020 7 25,Odontopyxis trispinosa,0,0
fan3 2020 7 25,Oligocottus rimensis,0,0
fan3 2020 7 25,Oligocottus1,220,1
fan3 2020 7 25,Oncorhynchus kisutch,0,0
fan3 2020 7 25,Oncorhynchus tshawytscha,0,0
fan3 2020 7 25,Ophiodon elongatus,10,1
fan3 2020 7 25,Oxylebius pictus,0,0
fan3 2020 7 25,Pallasina barbata,0,0
fan3 2020 7 25,Pholis1,0,0
fan3 2020 7 25,Platichthys stellatus,0,0
fan3 2020 7 25,Pleuronectidae1,26,1
fan3 2020 7 25,Pleuronichthys coenosus,0,0
fan3 2020 7 25,Rhacochilus vacca,0,0
fan3 2020 7 25,Rhinogobiops nicholsii,0,0
fan3 2020 7 25,Rimicola muscarum,0,0
fan3 2020 7 25,Salvelinus malma,0,0
fan3 2020 7 25,Scorpaenichthys marmoratus,0,0
fan3 2020 7 25,Sebastes paucispinis,0,0
fan3 2020 7 25,Sebastes1,0,0
fan3 2020 7 25,Sebastes2,0,0
fan3 2020 7 25,Synchirus gilli,0,0
fan3 2020 7 25,Syngnathus leptorhynchus,33,1
fan3 2020 7 25,Trichodon trichodon,0,0
gog1 2018 7 14,Ammodytes1,0,0
gog1 2018 7 14,Amphistichus rhodoterus,0,0
gog1 2018 7 14,Anoplarchus1,0,0
gog1 2018 7 14,Apodichthys flavidus,60,1
gog1 2018 7 14,Artedius1,0,0
gog1 2018 7 14,Ascelichthys rhodorus,0,0
gog1 2018 7 14,Aulorhynchus flavidus,82,1
gog1 2018 7 14,Blepsias cirrhosus,61,1
gog1 2018 7 14,Brachyistius frenatus,0,0
gog1 2018 7 14,Chitonotus pugetensis,0,0
gog1 2018 7 14,Citharichthys1,14,1
gog1 2018 7 14,Clinocottus acuticeps,0,0
gog1 2018 7 14,Clupea pallasii,0,0
gog1 2018 7 14,Cymatogaster aggregata,601,1
gog1 2018 7 14,Embiotoca lateralis,0,0
gog1 2018 7 14,Enophrys bison,4,1
gog1 2018 7 14,Gadus chalcogrammus,0,0
gog1 2018 7 14,Gadus macrocephalus,0,0
gog1 2018 7 14,Gasterosteus aculeatus,0,0
gog1 2018 7 14,Gibbonsia metzi,0,0
gog1 2018 7 14,Gobiesox maeandricus,3,1
gog1 2018 7 14,Hemilepidotus hemilepidotus,2,1
gog1 2018 7 14,Hexagrammos decagrammus,41,1
gog1 2018 7 14,Hexagrammos stelleri,0,0
gog1 2018 7 14,Hexagrammos1,0,0
gog1 2018 7 14,Hypomesus pretiosus,0,0
gog1 2018 7 14,Jordania zonope,0,0
gog1 2018 7 14,Lepidogobius lepidus,0,0
gog1 2018 7 14,Lepidopsetta1,0,0
gog1 2018 7 14,Leptocottus armatus,6,1
gog1 2018 7 14,Lumpenus sagitta,0,0
gog1 2018 7 14,Microgadus proximus,0,0
gog1 2018 7 14,Myoxocephalus1,0,0
gog1 2018 7 14,Odontopyxis trispinosa,0,0
gog1 2018 7 14,Oligocottus rimensis,0,0
gog1 2018 7 14,Oligocottus1,0,0
gog1 2018 7 14,Oncorhynchus kisutch,0,0
gog1 2018 7 14,Oncorhynchus tshawytscha,0,0
gog1 2018 7 14,Ophiodon elongatus,2,1
gog1 2018 7 14,Oxylebius pictus,0,0
gog1 2018 7 14,Pallasina barbata,5,1
gog1 2018 7 14,Pholis1,16,1
gog1 2018 7 14,Platichthys stellatus,0,0
gog1 2018 7 14,Pleuronectidae1,4,1
gog1 2018 7 14,Pleuronichthys coenosus,1,1
gog1 2018 7 14,Rhacochilus vacca,0,0
gog1 2018 7 14,Rhinogobiops nicholsii,0,0
gog1 2018 7 14,Rimicola muscarum,13,1
gog1 2018 7 14,Salvelinus malma,0,0
gog1 2018 7 14,Scorpaenichthys marmoratus,6,1
gog1 2018 7 14,Sebastes paucispinis,0,0
gog1 2018 7 14,Sebastes1,0,0
gog1 2018 7 14,Sebastes2,0,0
gog1 2018 7 14,Synchirus gilli,9,1
gog1 2018 7 14,Syngnathus leptorhynchus,86,1
gog1 2018 7 14,Trichodon trichodon,0,0
gog1 2020 7 26,Ammodytes1,0,0
gog1 2020 7 26,Amphistichus rhodoterus,0,0
gog1 2020 7 26,Anoplarchus1,0,0
gog1 2020 7 26,Apodichthys flavidus,8,1
gog1 2020 7 26,Artedius1,0,0
gog1 2020 7 26,Ascelichthys rhodorus,0,0
gog1 2020 7 26,Aulorhynchus flavidus,1,1
gog1 2020 7 26,Blepsias cirrhosus,1,1
gog1 2020 7 26,Brachyistius frenatus,0,0
gog1 2020 7 26,Chitonotus pugetensis,0,0
gog1 2020 7 26,Citharichthys1,1,1
gog1 2020 7 26,Clinocottus acuticeps,0,0
gog1 2020 7 26,Clupea pallasii,0,0
gog1 2020 7 26,Cymatogaster aggregata,7,1
gog1 2020 7 26,Embiotoca lateralis,0,0
gog1 2020 7 26,Enophrys bison,0,0
gog1 2020 7 26,Gadus chalcogrammus,0,0
gog1 2020 7 26,Gadus macrocephalus,0,0
gog1 2020 7 26,Gasterosteus aculeatus,0,0
gog1 2020 7 26,Gibbonsia metzi,0,0
gog1 2020 7 26,Gobiesox maeandricus,0,0
gog1 2020 7 26,Hemilepidotus hemilepidotus,0,0
gog1 2020 7 26,Hexagrammos decagrammus,0,0
gog1 2020 7 26,Hexagrammos stelleri,0,0
gog1 2020 7 26,Hexagrammos1,0,0
gog1 2020 7 26,Hypomesus pretiosus,0,0
gog1 2020 7 26,Jordania zonope,0,0
gog1 2020 7 26,Lepidogobius lepidus,0,0
gog1 2020 7 26,Lepidopsetta1,0,0
gog1 2020 7 26,Leptocottus armatus,17,1
gog1 2020 7 26,Lumpenus sagitta,0,0
gog1 2020 7 26,Microgadus proximus,0,0
gog1 2020 7 26,Myoxocephalus1,0,0
gog1 2020 7 26,Odontopyxis trispinosa,0,0
gog1 2020 7 26,Oligocottus rimensis,0,0
gog1 2020 7 26,Oligocottus1,0,0
gog1 2020 7 26,Oncorhynchus kisutch,0,0
gog1 2020 7 26,Oncorhynchus tshawytscha,0,0
gog1 2020 7 26,Ophiodon elongatus,0,0
gog1 2020 7 26,Oxylebius pictus,0,0
gog1 2020 7 26,Pallasina barbata,0,0
gog1 2020 7 26,Pholis1,4,1
gog1 2020 7 26,Platichthys stellatus,0,0
gog1 2020 7 26,Pleuronectidae1,349,1
gog1 2020 7 26,Pleuronichthys coenosus,0,0
gog1 2020 7 26,Rhacochilus vacca,0,0
gog1 2020 7 26,Rhinogobiops nicholsii,0,0
gog1 2020 7 26,Rimicola muscarum,0,0
gog1 2020 7 26,Salvelinus malma,0,0
gog1 2020 7 26,Scorpaenichthys marmoratus,0,0
gog1 2020 7 26,Sebastes paucispinis,0,0
gog1 2020 7 26,Sebastes1,0,0
gog1 2020 7 26,Sebastes2,0,0
gog1 2020 7 26,Synchirus gilli,0,0
gog1 2020 7 26,Syngnathus leptorhynchus,15,1
gog1 2020 7 26,Trichodon trichodon,0,0
gog4 2018 7 14,Ammodytes1,0,0
gog4 2018 7 14,Amphistichus rhodoterus,0,0
gog4 2018 7 14,Anoplarchus1,0,0
gog4 2018 7 14,Apodichthys flavidus,7,1
gog4 2018 7 14,Artedius1,0,0
gog4 2018 7 14,Ascelichthys rhodorus,13,1
gog4 2018 7 14,Aulorhynchus flavidus,15,1
gog4 2018 7 14,Blepsias cirrhosus,1,1
gog4 2018 7 14,Brachyistius frenatus,0,0
gog4 2018 7 14,Chitonotus pugetensis,0,0
gog4 2018 7 14,Citharichthys1,50,1
gog4 2018 7 14,Clinocottus acuticeps,0,0
gog4 2018 7 14,Clupea pallasii,0,0
gog4 2018 7 14,Cymatogaster aggregata,10,1
gog4 2018 7 14,Embiotoca lateralis,0,0
gog4 2018 7 14,Enophrys bison,0,0
gog4 2018 7 14,Gadus chalcogrammus,1,1
gog4 2018 7 14,Gadus macrocephalus,1,1
gog4 2018 7 14,Gasterosteus aculeatus,0,0
gog4 2018 7 14,Gibbonsia metzi,0,0
gog4 2018 7 14,Gobiesox maeandricus,4,1
gog4 2018 7 14,Hemilepidotus hemilepidotus,0,0
gog4 2018 7 14,Hexagrammos decagrammus,25,1
gog4 2018 7 14,Hexagrammos stelleri,0,0
gog4 2018 7 14,Hexagrammos1,0,0
gog4 2018 7 14,Hypomesus pretiosus,0,0
gog4 2018 7 14,Jordania zonope,0,0
gog4 2018 7 14,Lepidogobius lepidus,0,0
gog4 2018 7 14,Lepidopsetta1,0,0
gog4 2018 7 14,Leptocottus armatus,8,1
gog4 2018 7 14,Lumpenus sagitta,0,0
gog4 2018 7 14,Microgadus proximus,0,0
gog4 2018 7 14,Myoxocephalus1,0,0
gog4 2018 7 14,Odontopyxis trispinosa,0,0
gog4 2018 7 14,Oligocottus rimensis,0,0
gog4 2018 7 14,Oligocottus1,4,1
gog4 2018 7 14,Oncorhynchus kisutch,0,0
gog4 2018 7 14,Oncorhynchus tshawytscha,0,0
gog4 2018 7 14,Ophiodon elongatus,1,1
gog4 2018 7 14,Oxylebius pictus,0,0
gog4 2018 7 14,Pallasina barbata,7,1
gog4 2018 7 14,Pholis1,0,0
gog4 2018 7 14,Platichthys stellatus,0,0
gog4 2018 7 14,Pleuronectidae1,148,1
gog4 2018 7 14,Pleuronichthys coenosus,1,1
gog4 2018 7 14,Rhacochilus vacca,0,0
gog4 2018 7 14,Rhinogobiops nicholsii,0,0
gog4 2018 7 14,Rimicola muscarum,11,1
gog4 2018 7 14,Salvelinus malma,0,0
gog4 2018 7 14,Scorpaenichthys marmoratus,2,1
gog4 2018 7 14,Sebastes paucispinis,1,1
gog4 2018 7 14,Sebastes1,1,1
gog4 2018 7 14,Sebastes2,0,0
gog4 2018 7 14,Synchirus gilli,7,1
gog4 2018 7 14,Syngnathus leptorhynchus,13,1
gog4 2018 7 14,Trichodon trichodon,0,0
gog4 2020 7 26,Ammodytes1,102,1
gog4 2020 7 26,Amphistichus rhodoterus,0,0
gog4 2020 7 26,Anoplarchus1,0,0
gog4 2020 7 26,Apodichthys flavidus,0,0
gog4 2020 7 26,Artedius1,0,0
gog4 2020 7 26,Ascelichthys rhodorus,0,0
gog4 2020 7 26,Aulorhynchus flavidus,0,0
gog4 2020 7 26,Blepsias cirrhosus,1,1
gog4 2020 7 26,Brachyistius frenatus,0,0
gog4 2020 7 26,Chitonotus pugetensis,0,0
gog4 2020 7 26,Citharichthys1,1,1
gog4 2020 7 26,Clinocottus acuticeps,0,0
gog4 2020 7 26,Clupea pallasii,1,1
gog4 2020 7 26,Cymatogaster aggregata,12,1
gog4 2020 7 26,Embiotoca lateralis,0,0
gog4 2020 7 26,Enophrys bison,0,0
gog4 2020 7 26,Gadus chalcogrammus,0,0
gog4 2020 7 26,Gadus macrocephalus,0,0
gog4 2020 7 26,Gasterosteus aculeatus,0,0
gog4 2020 7 26,Gibbonsia metzi,0,0
gog4 2020 7 26,Gobiesox maeandricus,0,0
gog4 2020 7 26,Hemilepidotus hemilepidotus,0,0
gog4 2020 7 26,Hexagrammos decagrammus,1,1
gog4 2020 7 26,Hexagrammos stelleri,0,0
gog4 2020 7 26,Hexagrammos1,0,0
gog4 2020 7 26,Hypomesus pretiosus,0,0
gog4 2020 7 26,Jordania zonope,0,0
gog4 2020 7 26,Lepidogobius lepidus,0,0
gog4 2020 7 26,Lepidopsetta1,0,0
gog4 2020 7 26,Leptocottus armatus,1,1
gog4 2020 7 26,Lumpenus sagitta,0,0
gog4 2020 7 26,Microgadus proximus,0,0
gog4 2020 7 26,Myoxocephalus1,0,0
gog4 2020 7 26,Odontopyxis trispinosa,0,0
gog4 2020 7 26,Oligocottus rimensis,0,0
gog4 2020 7 26,Oligocottus1,3,1
gog4 2020 7 26,Oncorhynchus kisutch,0,0
gog4 2020 7 26,Oncorhynchus tshawytscha,0,0
gog4 2020 7 26,Ophiodon elongatus,0,0
gog4 2020 7 26,Oxylebius pictus,0,0
gog4 2020 7 26,Pallasina barbata,0,0
gog4 2020 7 26,Pholis1,0,0
gog4 2020 7 26,Platichthys stellatus,0,0
gog4 2020 7 26,Pleuronectidae1,336,1
gog4 2020 7 26,Pleuronichthys coenosus,0,0
